temp_avg,temp_min,temp_max
0.013699999999999999,0.0077,0.019899999999999998
0.0128,0.0114,0.0161
0.012199999999999999,0.0067,0.0177
0.0054,0.0017,0.0103
0.008400000000000001,0.0014,0.0147
0.0107,0.0043,0.0173
0.0091,0.0032,0.0119
0.0075,0.0034,0.012199999999999999
0.008199999999999999,0.0026,0.0127
0.0053,0.0005,0.0101
0.0013,-0.0016,0.0050999999999999995
0.0011,-0.0026,0.0058
0.0016,-0.0025,0.0066
0.0012,-0.0028,0.004900000000000001
0.003,-0.0033,0.0089
0.0054,-0.0015,0.0119
0.0085,0.0040999999999999995,0.0141
0.010199999999999999,0.0048,0.016800000000000002
0.009800000000000001,0.0031,0.0183
0.0095,0.0037,0.0136
0.0001,-0.0028,0.0037
0.0022,-0.0040999999999999995,0.0089
0.0050999999999999995,-0.0008,0.0109
0.0052,-0.0002,0.0107
0.0064,0.0013,0.0109
0.0073,0.0057,0.0085
0.0065,0.0037,0.0095
0.004200000000000001,0.0012,0.0083
0.0056,-0.0009,0.0114
0.0086,0.004900000000000001,0.014
0.0081,0.0016,0.0126
0.0095,0.0053,0.0135
0.0046,0.0027,0.0092
0.0054,0.0029,0.0094
0.0046,0.0014,0.009
0.0017,-0.0024,0.0078
0.0016,-0.0045,0.006900000000000001
0.0039,-0.0017,0.009800000000000001
0.0057,0.0007,0.0106
0.0066,0.0006,0.0129
-0.0011,-0.0035,0.0027
-0.0014,-0.004200000000000001,0.0013
-0.0009,-0.0045,0.0028
-0.0002,-0.0054,0.004900000000000001
0.0023,-0.0021000000000000003,0.0054
0.007,0.004,0.0126
0.0040999999999999995,-0.0003,0.0107
0.0053,0.0029,0.0101
0.0065,0.0036,0.0087
0.0035,-0.003,0.0086
-0.003,-0.0058,0.0003
-0.0058,-0.009699999999999999,-0.0031
-0.0022,-0.0075,0.0021000000000000003
0.0015,-0.0045,0.008
0.0012,-0.0005,0.0026
-0.0027,-0.0072,0.0006
-0.0054,-0.009699999999999999,-0.0013
0.0001,-0.0043,0.0054
0.0007,-0.0005,0.0014
0.0028,-0.002,0.0076
0.0044,0.0011,0.0078
0.0048,0.0002,0.0091
-0.0027,-0.0047,0.0029
-0.004900000000000001,-0.0078,-0.0022
-0.0068,-0.0095,-0.0035
-0.0065,-0.0092,-0.0029
-0.0055,-0.0101,-0.0008
-0.0039,-0.009699999999999999,0.001
-0.0011,-0.0085,0.0057
0.0022,-0.003,0.0087
-0.0004,-0.0031,0.0018
-0.0056,-0.0101,-0.0028
-0.0114,-0.013800000000000002,-0.0083
-0.0119,-0.015,-0.0075
-0.0109,-0.0157,-0.006900000000000001
-0.0063,-0.0143,-0.0005
-0.004900000000000001,-0.0079,-0.0018
-0.001,-0.0075,0.0035
-0.0025,-0.0068,0.0029
-0.0043,-0.009800000000000001,0.0003
-0.0034,-0.0068,0.0009
-0.004200000000000001,-0.0111,0.0013
0.0008,-0.003,0.0064
0.0021000000000000003,-0.0029,0.0046
-0.0035,-0.006900000000000001,0.0007
-0.002,-0.0060999999999999995,0.0012
-0.0015,-0.0031,-0.0001
-0.0045,-0.0111,-0.0009
-0.0095,-0.0134,-0.004900000000000001
-0.0081,-0.0129,-0.0032
-0.0081,-0.012,-0.0043
-0.0048,-0.0094,-0.0011
-0.0007,-0.0056,0.0039
-0.0033,-0.0060999999999999995,0.0014
-0.0023,-0.0087,0.0035
0.0009,-0.0023,0.0067
-0.0031,-0.008,0.0019
-0.0062,-0.0109,-0.0013
-0.0037,-0.01,0.0021000000000000003
-0.002,-0.0086,0.0043
0.0003,-0.003,0.0050999999999999995
-0.0029,-0.0067,0.0013
0.0009,-0.0045,0.006
0.0007,-0.0028,0.0039
-0.0050999999999999995,-0.0105,0.0003
-0.0088,-0.0126,-0.0039
-0.008199999999999999,-0.0124,-0.0029
-0.0066,-0.0106,-0.0023
-0.0043,-0.0094,0.0013
-0.0019,-0.0091,0.004
0.0003,-0.0039,0.0053
-0.0008,-0.005900000000000001,0.0034
-0.0089,-0.0116,-0.0053
-0.009800000000000001,-0.013099999999999999,-0.005900000000000001
-0.0078,-0.0127,-0.0022
-0.005,-0.009800000000000001,-0.0004
-0.004900000000000001,-0.0086,0.0
-0.006900000000000001,-0.011,-0.002
-0.004900000000000001,-0.0096,0.0007
-0.002,-0.0050999999999999995,0.0040999999999999995
-0.0032,-0.0086,0.0029
-0.0009,-0.0088,0.0065
0.0028,-0.0009,0.0072
0.0032,0.0004,0.006
-0.0008,-0.0032,0.0011
-0.0023,-0.0050999999999999995,0.0001
-0.0023,-0.0053,0.0015
-0.0021000000000000003,-0.0075,0.0028
-0.0001,-0.0022,0.0011
0.0,-0.004200000000000001,0.0048
0.0036,-0.0019,0.008400000000000001
0.0024,-0.0007,0.0040999999999999995
-0.0017,-0.0036,0.0009
-0.0038,-0.006900000000000001,0.0003
-0.0026,-0.0068,0.0021000000000000003
-0.0013,-0.0055,0.0027
-0.003,-0.0064,-0.0003
-0.0045,-0.0085,-0.0003
